Order ID,MenuID,Customer ID,Sales,Quantity
12-306-6646,431,08-294-3158,137.76,2
12-346-4013,247,16-233-7577,285,2
12-371-9369,492,61-286-3086,186.93,3
12-605-1676,589,12-982-1679,104.07,2
12-648-4718,189,57-611-6010,137.76,2
12-718-1501,348,44-371-9315,179.7,3
12-837-0577,113,72-701-8397,465,2
13-018-1111,160,40-571-6226,147,3
13-189-4080,439,75-673-9361,112.5,2
13-235-5773,226,46-708-9429,147,1
13-435-8115,535,87-320-3281,252.405,2
13-469-9343,239,61-819-5221,187.5,2
13-555-4988,207,37-705-9466,216.135,2
13-673-8989,242,62-870-7138,330,1
13-698-5271,339,67-121-1555,216.135,3
13-912-7109,285,06-994-0572,112.5,2
14-210-2413,76,08-581-0238,152.4,3
14-224-3137,93,30-882-6768,285,2
14-316-4950,986,28-255-9636,179.7,1
14-376-2485,275,33-532-7457,139.695,3
14-606-3655,934,86-294-0566,152.4,1
14-648-5507,953,36-331-2831,252.405,2
15-090-5294,942,27-735-9532,179.7,1
15-190-8465,629,24-648-1490,137.76,2
15-192-4862,706,91-003-5808,315,1
15-197-3569,498,89-460-3944,199.755,1
15-260-9895,299,62-555-9031,137.76,3
15-272-2116,793,14-832-8262,480,2
15-297-7741,489,92-486-6132,285,2
15-307-8168,458,09-488-5773,179.7,1
15-663-0481,10,21-282-1343,147,1
15-667-9235,119,30-459-4522,216.135,2
16-386-7757,664,33-882-5916,337.5,3
16-609-1782,656,22-414-3931,179.7,3
16-921-7992,939,33-940-3140,78.12,3
16-946-9856,902,32-572-1979,330,1
17-146-9681,51,03-575-7094,252.405,3
17-253-1197,933,50-685-3169,216.135,2
17-264-8555,955,19-101-7328,216.135,3
17-396-0834,225,99-534-0752,285,2
17-529-1692,378,41-401-4494,337.5,1
17-586-7905,849,62-845-0351,137.76,2
17-708-5350,364,98-778-3557,66.855,3
17-851-5705,61,17-237-9919,104.07,2
18-136-6969,404,09-799-7986,186.93,3
18-237-6374,457,82-126-8371,104.07,2
18-252-1922,282,67-683-3934,179.7,1
18-359-3465,978,15-212-8866,152.4,1
18-752-8277,605,39-552-7180,139.695,2
18-944-2420,441,57-497-0939,480,2
19-156-3010,408,88-753-2311,66.855,3
19-189-3064,980,99-435-3448,66.855,3
19-281-5590,860,07-805-8279,315,3
19-329-8137,669,59-386-1239,216.135,2
19-522-8580,418,48-588-2099,330,1
19-530-8425,889,96-672-3509,216.135,2
19-560-5489,345,99-288-3999,78.12,2
19-768-2646,172,41-082-7417,179.7,3
19-798-0585,884,34-747-6973,337.5,3
19-953-6477,154,99-033-8011,330,1
20-140-3398,517,72-650-0634,139.695,2
20-205-9814,33,78-492-1244,139.695,2
20-343-7160,653,65-760-7724,78.12,2
20-698-8725,62,89-302-9477,179.7,1
21-039-2999,164,82-288-9392,152.4,3
21-104-5976,256,27-928-3810,199.755,3
21-106-4079,703,45-685-2873,112.5,2
21-164-7722,911,80-680-2541,216.135,2
21-385-2808,815,16-815-6643,480,2
21-627-1027,969,55-441-4945,480,2
21-743-3530,560,98-463-7157,152.4,3
21-844-2539,943,42-165-1972,187.5,2
22-001-6016,667,41-356-7756,252.405,3
22-130-4513,936,74-130-0054,66.855,3
22-401-7510,372,95-153-0059,352.5,3
22-437-6211,289,85-902-1541,465,2
22-501-9215,227,55-267-3235,252.405,3
22-561-9916,407,75-903-8085,139.695,2
22-572-6325,474,20-317-3721,66.855,1
22-697-0930,307,44-527-5077,112.5,3
22-867-9098,680,49-464-9139,352.5,3
22-872-7952,246,57-734-9941,337.5,1
22-904-5860,107,96-606-2380,187.5,3
22-906-5872,736,71-801-5063,152.4,3
23-082-1065,464,63-919-4250,315,3
23-153-9991,732,44-311-9619,147,3
23-364-4571,735,14-693-9001,216.135,2
23-382-0687,607,39-791-8742,137.76,2
23-427-8106,968,48-999-9247,330,3
23-582-1221,11,04-699-2162,252.405,3
23-636-0824,682,48-766-8760,330,1
23-760-0421,69,04-049-1006,465,2
23-824-2201,712,62-551-8160,186.93,3
23-898-9055,395,70-288-8972,112.5,3
24-041-3369,846,48-621-4122,152.4,1
24-102-1793,783,70-815-9836,137.76,2
24-139-0192,995,06-870-3808,285,3
24-314-4867,928,38-865-5715,337.5,3
24-332-5305,329,59-084-7992,112.5,2
24-339-0545,496,58-027-4960,66.855,3
24-351-9777,983,49-436-2903,78.12,2
24-502-2774,384,65-949-4674,152.4,3
24-678-5042,940,10-483-3261,125.985,3
24-690-6396,694,24-388-6822,66.855,1
24-714-2660,26,24-545-1124,315,1
24-934-3291,924,44-464-5517,330,3
24-998-9967,109,88-786-4775,112.5,2
25-093-8535,192,68-082-3942,125.985,3
25-177-6985,992,68-194-7215,315,3
25-252-0068,797,20-850-2376,285,2
25-339-5566,483,32-426-3513,112.5,3
25-432-8239,685,61-676-0339,465,2
25-433-9492,453,64-943-2705,137.76,2
25-485-3794,114,93-083-1812,337.5,1
25-522-2006,49,58-749-9630,285,2
25-621-0618,552,79-553-1254,315,3
25-771-0744,447,71-907-8875,252.405,2
25-850-5723,185,75-436-9725,216.135,2
25-912-8989,411,65-570-0362,78.12,3
26-231-8897,480,75-904-5534,179.7,3
26-281-8125,379,45-809-5759,285,3
26-326-8254,737,48-306-2176,139.695,2
26-437-6628,266,46-036-3035,315,1
26-461-5577,835,41-836-7896,112.5,3
26-802-1005,791,53-704-6388,112.5,2
26-929-8429,918,57-713-4376,125.985,1
26-973-3455,765,28-994-2175,104.07,2
27-077-0389,117,91-616-5387,252.405,2
27-252-7456,608,47-423-8685,199.755,3
27-295-8802,340,01-010-4453,152.4,3
27-600-6800,400,64-729-1878,337.5,3
27-774-9457,515,53-761-3433,216.135,3
27-991-7078,298,43-930-4762,66.855,1
28-019-1318,374,83-279-6709,330,1
28-279-3419,561,15-541-9267,139.695,2
28-341-5469,244,06-346-0589,315,3
28-376-6551,692,91-908-8699,152.4,3
28-387-3547,41,18-296-6063,187.5,2
28-608-5137,112,91-467-3717,315,3
28-703-1952,170,31-307-2307,125.985,1
28-882-5933,165,56-326-1556,139.695,2
28-960-2783,375,55-844-1489,480,2
29-260-4008,734,66-514-5198,186.93,1
29-353-4988,297,80-202-1241,139.695,2
29-463-3688,606,21-644-8108,66.855,1
29-546-8618,316,87-579-7924,186.93,3
29-577-3059,864,58-897-9539,147,3
29-587-2527,392,51-918-5148,179.7,3
29-595-2468,550,85-126-7032,330,1
29-600-4791,724,88-988-5357,352.5,3
29-600-8355,230,02-063-5381,152.4,1
29-601-2712,40,07-925-9556,179.7,3
29-728-2837,426,99-380-1965,186.93,1
29-773-5797,171,73-427-9774,104.07,3
29-930-1681,597,16-112-3047,465,2
29-947-3866,833,46-151-7455,187.5,2
29-952-5748,841,59-273-7178,285,2
30-032-8406,776,21-910-6325,147,3
30-082-2867,269,91-807-1653,285,2
30-087-5181,894,57-785-3314,199.755,1
30-117-6174,848,60-917-4254,66.855,3
30-124-4774,547,84-872-5897,187.5,3
30-148-2955,94,80-373-3482,147,1
30-205-9759,803,19-601-3865,139.695,3
30-418-5129,398,86-857-1829,315,1
30-601-0133,564,25-816-5806,199.755,3
30-715-2573,836,77-952-2629,330,3
30-724-0380,961,31-856-0244,78.12,2
30-790-3083,816,77-281-8756,315,3
30-791-3047,241,76-877-1926,112.5,2
30-867-3284,39,26-631-4044,104.07,2
30-969-9125,73,79-752-9044,252.405,2
31-014-4239,873,87-182-2023,78.12,2
31-073-7194,257,59-029-6148,78.12,2
31-087-9491,234,32-475-1071,199.755,1
31-106-2180,970,74-776-1637,315,1
31-121-8822,176,94-865-3366,330,3
31-221-4991,245,45-770-5550,465,2
31-255-9487,810,42-410-0705,179.7,1
31-302-3952,844,06-093-4453,186.93,3
31-340-1373,132,07-457-0443,330,3
31-404-5047,334,02-565-4368,337.5,1
31-405-1090,555,80-827-8013,285,3
31-576-8678,101,13-132-4970,137.76,2
31-593-0632,232,90-627-6303,66.855,3
31-607-0351,118,62-404-0979,186.93,1
31-669-5161,785,42-611-3228,78.12,2
31-762-1168,518,84-581-2271,66.855,1
31-807-7846,274,78-925-5718,152.4,1
31-955-7364,620,74-924-9475,337.5,3
32-023-4917,678,75-669-7534,179.7,1
32-049-4417,503,98-252-9656,187.5,2
32-208-6721,385,14-623-7622,139.695,2
32-317-3692,834,57-249-9311,352.5,1
32-377-0706,948,98-591-9409,315,3
32-483-3668,974,61-684-7316,147,1
32-596-3017,584,46-633-0361,66.855,3
32-698-1958,996,79-834-1150,147,3
32-732-9550,879,96-936-2893,112.5,2
32-783-7159,362,80-343-1997,152.4,1
32-792-5231,769,23-205-4715,112.5,2
32-923-9697,330,26-229-0678,330,1
33-044-7954,979,07-575-4456,139.695,3
33-177-2796,534,82-014-8133,147,1
33-207-9048,250,01-882-3064,186.93,1
33-294-7116,1000,22-719-1060,152.4,3
33-390-5032,960,29-914-6794,199.755,3
33-395-8454,681,86-404-0358,112.5,2
33-541-8718,288,38-821-9223,315,3
33-583-4747,290,68-632-2108,337.5,1
33-596-6321,42,26-237-6257,352.5,1
33-667-2660,369,19-662-9886,104.07,2
33-671-4773,755,95-631-7257,252.405,3
33-755-4654,237,33-715-4955,104.07,2
33-894-6676,368,94-324-2649,125.985,3
33-930-0109,406,13-473-0498,152.4,1
34-061-0340,596,82-932-8304,315,3
34-230-0439,782,21-823-5019,66.855,1
34-257-0115,813,29-836-4385,112.5,2
34-331-6365,823,35-306-1244,216.135,2
34-415-8074,281,76-056-5131,104.07,2
34-426-9335,593,91-276-1722,112.5,2
34-629-9123,129,53-839-6279,187.5,2
34-631-7695,513,71-993-6020,252.405,2
34-970-4387,271,91-253-6389,252.405,2
35-067-3364,567,57-653-7765,104.07,2
35-174-3155,551,04-729-3719,480,2
35-326-1148,627,63-009-8189,139.695,3
35-371-2486,25,79-082-9805,480,2
35-427-7418,188,38-352-8049,66.855,3
35-460-4013,562,60-341-1613,66.855,1
35-587-5940,484,67-522-8690,330,3
35-759-1971,702,53-853-8502,352.5,1
35-795-9456,261,53-638-1872,187.5,2
35-884-9148,588,27-342-8219,125.985,3
35-907-6473,263,09-463-4222,112.5,2
35-988-0040,35,55-516-2272,137.76,3
36-019-1520,759,91-839-0337,139.695,2
36-290-7816,837,04-242-3472,480,2
36-383-1600,37,87-811-2475,78.12,2
36-478-2126,981,07-158-6611,137.76,2
36-480-1277,157,16-968-9858,465,2
36-505-9404,925,13-549-8164,480,2
36-779-8330,91,45-670-3073,465,3
36-816-5383,152,98-956-4430,352.5,3
36-898-0004,912,80-692-1577,152.4,3
36-917-2834,4,73-873-4827,330,3
36-928-2921,941,66-300-2343,104.07,2
37-082-5374,287,35-231-9391,480,2
37-103-3005,459,07-589-4558,187.5,3
37-255-6435,428,77-348-8809,152.4,3
37-273-5241,947,19-848-0069,480,3
37-398-9630,705,36-740-6346,480,2
37-474-6061,537,24-176-7246,216.135,2
37-563-3518,34,87-172-1004,66.855,1
37-656-4777,763,85-451-7757,78.12,3
37-675-7898,920,34-942-9341,179.7,3
37-691-9097,786,62-189-0455,125.985,1
37-765-3279,190,73-948-0480,199.755,1
38-068-6643,898,81-094-4880,179.7,1
38-295-3172,747,72-152-2430,112.5,3
38-478-1265,219,80-658-1730,112.5,3
38-624-7763,413,24-717-8311,104.07,2
38-694-5330,756,17-578-7660,186.93,3
38-750-7959,590,16-392-8441,179.7,1
38-969-7419,966,95-862-4662,352.5,1
38-994-1709,402,71-703-5222,147,1
39-040-2440,665,75-071-4546,285,2
39-130-1094,733,40-236-9118,252.405,2
39-201-1204,315,79-307-3578,252.405,3
39-547-3173,198,63-906-6480,330,1
39-607-8115,654,58-196-6560,125.985,1
39-613-0627,57,18-238-2784,137.76,2
39-647-4894,53,97-122-0077,216.135,2
39-843-1059,127,71-234-5179,104.07,2
40-081-7496,875,50-466-7631,104.07,3
40-107-4974,83,72-486-1808,104.07,3
40-168-4233,184,84-403-5215,186.93,3
40-192-8164,139,73-965-2661,252.405,3
40-278-4324,927,53-208-7209,465,2
40-429-8594,456,18-790-4326,125.985,3
40-476-8892,739,57-157-8353,137.76,3
40-486-8511,424,79-477-1193,147,3
40-599-5065,817,30-825-3298,465,2
40-690-8134,774,17-425-9366,337.5,1
40-708-8263,883,80-279-3555,465,3
40-864-0766,991,34-231-0656,480,2
41-177-5682,630,91-488-9581,199.755,1
41-179-7445,346,18-878-4452,125.985,1
41-201-7265,745,45-044-4374,187.5,2
41-269-9772,805,56-511-3188,137.76,2
41-328-2835,944,23-834-9533,352.5,3
41-441-3097,945,81-334-5691,112.5,2
41-597-5931,508,22-174-9688,315,3
41-622-4465,325,18-208-4971,104.07,2
41-640-4815,870,90-268-2856,66.855,1
42-108-2633,711,07-597-7903,252.405,2
42-108-7287,611,33-208-6770,104.07,3
42-250-4316,950,42-897-6329,337.5,1
42-303-1476,938,30-902-5761,199.755,1
42-438-0394,818,96-799-4054,337.5,1
42-829-4772,220,35-344-7124,330,3
42-906-2475,59,96-883-5571,78.12,3
43-009-8040,133,50-716-5754,480,2
43-052-9931,9,89-896-4591,285,2
43-109-7017,559,51-811-2023,216.135,2
43-134-2893,370,79-230-2093,179.7,1
43-238-0006,162,37-372-9415,186.93,1
43-461-0935,946,30-022-9413,330,1
43-566-9850,468,39-359-4391,147,3
43-634-6121,720,11-586-9495,125.985,3
43-663-3135,865,45-104-2327,252.405,2
43-718-3224,526,58-762-4502,352.5,1
43-720-3267,771,37-076-7913,480,3
43-799-4873,655,22-501-0325,104.07,2
43-850-7830,716,14-188-9770,66.855,3
43-918-0203,604,48-898-3804,152.4,3
44-087-0146,455,57-651-6974,78.12,2
44-357-1100,106,73-849-7161,179.7,1
44-379-6825,635,03-512-0082,187.5,3
44-439-4440,677,02-681-4911,104.07,2
44-701-3012,505,63-367-4362,112.5,2
44-877-6595,583,95-556-4695,139.695,2
44-969-2805,744,76-335-3399,179.7,3
45-033-9684,168,22-453-6603,199.755,3
45-043-4851,801,60-346-2768,216.135,2
45-153-3592,871,54-078-7771,137.76,2
45-381-3607,866,26-472-0085,186.93,1
45-436-6764,571,79-104-5654,112.5,3
45-486-4534,781,49-905-8008,139.695,2
45-519-3808,309,97-034-6516,480,2
45-594-5624,146,24-909-6177,199.755,1
45-742-2253,206,90-275-2874,186.93,1
45-780-6744,355,94-518-3950,465,3
45-989-0711,20,66-386-4902,179.7,3
46-031-2472,353,23-068-9989,480,2
46-072-3557,752,03-547-5984,337.5,3
46-138-6582,613,86-592-7704,187.5,2
46-301-6761,84,40-931-4451,179.7,3
46-576-0301,695,18-648-5116,137.76,2
46-627-8981,688,63-400-1629,147,3
46-671-2432,44,29-631-4932,330,3
46-686-0158,322,97-474-3634,199.755,1
46-715-1183,98,41-635-6237,152.4,1
46-773-9492,579,84-559-2630,252.405,3
46-796-5628,524,29-590-2171,179.7,3
46-892-9399,147,58-570-3984,78.12,3
46-969-1933,135,31-441-5077,465,2
47-068-1396,977,23-233-9582,216.135,2
47-084-5361,563,94-189-0780,137.76,3
47-102-5062,556,20-741-4330,147,3
47-198-9429,366,21-735-6636,199.755,1
47-441-1628,264,46-863-0685,330,3
47-612-6340,916,81-488-4385,199.755,3
47-760-3761,850,83-415-1839,199.755,1
47-940-7720,880,43-976-6171,330,3
48-335-5237,542,39-392-8970,199.755,1
48-370-5933,31,35-042-6593,252.405,2
48-873-2607,43,77-064-4656,112.5,3
49-275-9191,886,27-053-6056,147,1
49-337-9727,313,85-983-2290,285,2
49-366-5985,82,38-254-0934,125.985,1
49-368-5121,347,06-566-4150,104.07,3
49-404-6008,710,95-505-4189,147,1
49-429-0115,210,91-321-8895,66.855,1
49-795-0099,573,83-007-6408,480,2
49-841-5624,79,52-259-8758,137.76,2
49-934-7149,314,58-629-4175,147,1
49-961-9885,760,98-336-1192,66.855,3
50-030-7130,888,05-685-7660,186.93,3
50-048-3933,421,74-526-8799,465,2
50-185-4137,199,73-712-9768,480,2
50-370-8158,838,97-519-5326,315,1
50-475-9958,868,85-315-2081,152.4,3
50-617-3367,657,30-959-5571,187.5,2
50-696-6686,890,62-549-2752,152.4,1
50-747-1156,723,39-702-3793,187.5,3
50-817-8023,178,77-591-2181,315,1
50-818-0337,382,74-822-1028,186.93,1
51-007-0849,143,19-745-7544,139.695,2
51-062-8739,471,52-341-6099,216.135,2
51-247-0503,409,29-317-1692,137.76,2
51-287-9364,792,14-346-3203,330,3
51-290-4538,738,86-277-5508,66.855,1
51-322-7429,77,51-824-3545,139.695,2
51-349-8226,388,67-170-9130,199.755,3
51-420-8292,820,32-736-6261,147,3
51-470-5294,802,76-163-3165,152.4,1
51-493-6866,699,45-272-9855,104.07,3
51-955-2727,138,91-982-8246,147,1
51-959-4742,342,93-638-4651,66.855,1
51-960-7680,570,89-961-8506,352.5,1
52-071-2704,104,80-644-1720,125.985,3
52-104-3482,306,65-854-0852,352.5,1
52-152-3371,419,83-012-9386,480,3
52-348-6923,327,78-456-9963,187.5,2
52-523-5327,893,28-108-0435,137.76,2
52-708-9153,574,91-757-8892,315,1
52-905-6091,389,88-616-2949,78.12,2
52-984-2592,130,49-536-9801,352.5,1
53-068-3680,416,89-492-9791,352.5,3
53-131-0339,618,19-203-6248,315,1
53-322-3671,671,13-040-2063,139.695,2
53-401-6179,228,30-073-5505,186.93,3
53-412-8787,701,51-291-3742,187.5,2
53-430-9568,122,12-210-8916,66.855,1
53-433-8071,485,16-649-4523,480,2
53-494-9541,479,01-864-9695,104.07,2
53-504-3875,436,36-618-6589,179.7,3
53-541-9522,557,89-981-5015,252.405,2
53-563-4345,965,95-339-8822,187.5,2
53-585-4586,140,65-465-1137,186.93,3
53-622-3155,788,44-431-8932,179.7,3
53-661-8226,625,34-938-2645,216.135,2
53-763-8296,202,13-641-1831,337.5,1
53-851-0542,578,43-225-1028,147,1
53-925-0103,636,00-352-9063,352.5,3
53-974-4637,201,94-235-1902,465,2
54-080-0702,807,82-520-3770,78.12,2
54-162-7684,964,18-892-9010,179.7,3
54-322-1808,715,78-757-0953,139.695,3
54-366-6861,1,72-055-7985,187.5,2
54-413-3195,876,41-164-0757,179.7,3
54-501-1389,852,35-922-4096,125.985,3
54-555-7832,268,73-374-8667,337.5,3
54-800-8042,725,92-702-5870,112.5,2
54-815-3308,394,22-129-8597,352.5,1
55-209-0374,901,41-371-0653,112.5,2
55-250-4051,854,29-212-8537,179.7,1
55-263-8669,67,00-988-1489,480,3
55-443-2920,209,75-937-6004,139.695,2
55-592-1782,757,80-268-7959,216.135,2
55-619-8849,499,15-547-7156,78.12,3
55-676-1998,380,59-553-0874,147,3
55-734-7101,96,27-350-6986,186.93,3
55-932-3347,502,01-905-4730,179.7,1
56-076-6137,141,46-957-2549,216.135,2
56-184-4508,312,00-806-0662,337.5,3
56-195-4013,208,96-259-0479,152.4,3
56-271-4185,8,83-800-4789,337.5,3
56-307-1423,194,23-541-2030,179.7,1
56-331-9919,24,72-417-9175,330,3
56-545-1829,58,14-427-0652,199.755,1
56-644-2509,829,47-775-2879,78.12,2
56-775-4607,832,99-823-8050,179.7,3
56-840-9304,103,26-834-8571,78.12,2
56-933-2115,75,17-162-2135,216.135,3
57-393-6200,830,58-519-0920,125.985,1
57-417-7291,116,60-477-3944,147,3
57-683-6723,661,11-402-7555,480,2
57-755-0191,78,03-133-1843,66.855,1
57-761-6559,658,79-080-9855,352.5,1
57-773-2064,609,82-214-2697,78.12,2
58-064-3049,72,93-710-1150,147,3
58-115-0437,959,06-831-0706,137.76,2
58-149-3499,668,15-038-3835,186.93,3
58-251-6487,276,37-472-2855,66.855,3
58-287-7773,80,22-744-2112,199.755,3
58-300-9513,958,49-948-7915,66.855,1
58-326-4792,540,49-045-3798,66.855,3
58-376-5889,265,26-673-1238,480,2
58-419-3322,260,76-663-5204,179.7,3
58-753-8307,915,37-845-3065,137.76,3
59-023-1187,440,63-547-7404,330,3
59-380-4206,163,14-852-2100,216.135,3
59-493-4419,193,43-748-1342,104.07,2
59-613-6838,486,64-444-2153,315,1
59-617-9817,847,37-038-2215,139.695,2
59-738-2614,687,47-010-9846,285,2
59-784-8988,775,54-763-6870,285,2
59-971-2896,643,50-753-5196,285,3
60-009-2815,772,46-123-3292,315,3
60-078-2571,305,61-679-9578,187.5,2
60-081-1759,262,81-155-1642,352.5,1
60-197-5739,36,79-227-9821,199.755,3
60-230-9043,594,92-898-9409,330,1
60-270-8291,86,42-037-9687,352.5,1
60-600-4172,592,28-838-2563,352.5,3
60-725-6733,481,11-447-6901,187.5,2
60-885-4424,614,82-505-1173,352.5,1
60-913-9847,277,15-796-7574,137.76,2
61-057-1975,12,72-013-3529,152.4,3
61-096-3317,38,97-003-2495,125.985,1
61-097-0206,539,69-254-9529,139.695,3
61-185-3517,390,52-456-8474,125.985,1
61-501-5110,840,03-350-0766,337.5,3
61-509-9344,548,23-245-6549,352.5,3
61-533-3161,328,34-306-8680,352.5,3
61-618-8783,976,64-856-3763,186.93,3
61-622-8419,651,02-156-3419,137.76,3
61-720-5633,825,56-125-9083,139.695,2
61-721-9793,861,21-055-2991,465,2
61-729-8958,827,50-376-1116,137.76,3
61-753-0334,454,76-207-5652,199.755,1
61-799-5380,663,07-187-1437,465,2
61-841-5883,155,44-048-2898,480,3
62-086-4242,896,46-049-5828,125.985,3
62-201-9287,683,05-480-9942,480,3
62-507-3661,887,28-076-4615,252.405,2
62-591-7981,497,45-876-6548,137.76,2
62-768-3976,145,37-402-2949,137.76,2
62-918-2454,63,30-395-2269,187.5,2
63-204-3800,159,75-905-7326,285,2
63-236-3555,646,81-015-5506,186.93,1
63-346-9064,722,79-339-7626,179.7,1
63-453-3505,622,66-811-8791,147,1
63-500-9286,476,28-196-8983,199.755,3
63-555-6345,331,98-945-3693,480,3
63-761-3686,2,65-353-0657,352.5,1
64-051-9774,809,53-257-4115,104.07,2
64-141-5718,187,11-127-1413,139.695,3
64-427-6469,877,01-646-4719,187.5,2
64-446-6092,144,21-950-4765,66.855,3
64-569-9390,99,00-381-6823,139.695,3
64-718-6202,773,30-426-0861,465,2
64-918-4744,396,32-854-1763,330,3
64-941-6067,743,18-179-2197,104.07,2
65-080-5283,166,85-368-5194,66.855,1
65-170-4476,249,72-484-4060,252.405,2
65-249-5260,332,63-572-7482,315,3
65-262-1387,931,42-475-0558,252.405,3
65-301-1388,95,19-175-1000,252.405,2
65-311-3002,177,00-090-3491,480,2
65-329-2436,600,23-605-5942,147,3
65-351-6434,3,90-876-6799,112.5,3
65-386-4145,519,56-917-2112,137.76,2
65-428-6495,693,07-014-5107,139.695,2
65-432-1983,764,09-340-5529,125.985,3
65-451-1818,495,26-402-5585,139.695,2
65-485-7254,808,95-331-1993,125.985,3
65-907-3127,326,05-230-9436,179.7,1
65-919-0733,891,40-270-8030,139.695,3
65-966-4872,231,97-687-5761,139.695,2
